chapter,lesson_introduced,can_do_id,can_do
1,L1,C1-1,use time-appropriate greetings and farewells
1,L2,C1-2,say and ask a name
1,L2,C1-3,ask and answer How are you?
1,L1,C1-4,use basic politeness words
2,L1,C2-1,recognise and say the alphabet A–Z
2,L1,C2-2,spell a name and request repetition
2,L2,C2-3,understand and say numbers 0–20
2,L2,C2-4,exchange simple fictional contact details
2,L2,C2-5,ask for slower or repeated speech
3,L1,C3-1,ask and answer where someone is from
3,L1,C3-2,state languages in a fixed frame
3,L2,C3-3,state a job or role with a/an
3,L2,C3-4,introduce another person
3,L3,C3-5,understand short identity profiles
4,L3,C4-1,integrate Ch1–3 in a welcome-day mission and pass Checkpoint 1
5,L1,C5-1,identify close family partner and friends
5,L1,C5-2,say ages with numbers to 100
5,L2,C5-3,describe people with simple adjectives
5,L2,C5-4,express ownership with have/has
5,L3,C5-5,understand an illustrated family description
6,L1,C6-1,name main rooms and household objects
6,L1,C6-2,name common colours
6,L2,C6-3,say things exist with there is/there are
6,L2,C6-4,ask and answer where objects are
6,L2,C6-5,distinguish near/far and singular/plural visible objects
7,L1,C7-1,say days and understand/say full and half-hour times
7,L2,C7-2,state routines in sequence with present simple
7,L3,C7-3,ask routine questions with do/does
7,L3,C7-4,express four frequency levels
7,L4,C7-5,arrange a meeting day and time
8,L3,C8-1,integrate Ch5–7 in a visit mission and pass Checkpoint 2
9,L1,C9-1,name common foods and drinks
9,L2,C9-2,state likes and dislikes
9,L2,C9-3,understand whole-number prices 1–100
9,L3,C9-4,make a polite formulaic order and ask for the bill
10,L1,C10-1,recognise common places in town
10,L2,C10-2,understand and give 2–4 direction steps
10,L2,C10-3,state simple ability with can/can't
10,L3,C10-4,read common signs and map labels
11,L1,C11-1,identify common weather
11,L2,C11-2,describe actions happening now
11,L2,C11-3,ask and answer present-continuous questions
11,L3,C11-4,invite and accept or decline politely
12,L3,C12-1,integrate Ch9–11 in a day-in-town mission and pass Checkpoint 3
