id,headword_or_phrase,type,micro_set,introduced_chapter,introduced_lesson,status,later_review_chapters
A1-C01-L01-V001,hello,word,A-greetings-farewells,1,1,taught,"2;3;4"
A1-C01-L01-V002,hi,word,A-greetings-farewells,1,1,taught,"2;4"
A1-C01-L01-V003,good morning,chunk,A-greetings-farewells,1,1,taught,"4;7"
A1-C01-L01-V004,good afternoon,chunk,A-greetings-farewells,1,1,taught,"4;7;9"
A1-C01-L01-V005,good evening,chunk,A-greetings-farewells,1,1,taught,"4;7"
A1-C01-L01-V006,goodbye,word,A-greetings-farewells,1,1,taught,"2;4"
A1-C01-L01-V007,bye,word,A-greetings-farewells,1,1,taught,"4"
A1-C01-L01-V008,see you,chunk,A-greetings-farewells,1,1,taught,"4;11"
A1-C01-L01-V009,please,word,B-politeness-repair,1,1,taught,"2;9;10"
A1-C01-L01-V010,thank you,chunk,B-politeness-repair,1,1,taught,"2;9;10"
A1-C01-L01-V011,thanks,word,B-politeness-repair,1,1,taught,"9;10"
A1-C01-L01-V012,sorry,word,B-politeness-repair,1,1,taught,"2;11"
A1-C01-L01-V013,excuse me,chunk,B-politeness-repair,1,1,taught,"10"
A1-C01-L01-V014,yes,word,B-politeness-repair,1,1,taught,"2;3"
A1-C01-L01-V015,no,word,B-politeness-repair,1,1,taught,"2;3"
A1-C01-L02-V016,good,word,C-greeting-states,1,2,taught,"2;4"
A1-C01-L02-V017,fine,word,C-greeting-states,1,2,taught,"4"
A1-C01-L02-V018,okay,word,C-greeting-states,1,2,taught,"4;11"
A1-C01-L02-V019,great,word,C-greeting-states,1,2,taught,"4;11"
A1-C01-L02-V020,not bad,chunk,C-greeting-states,1,2,taught,"4"
A1-C01-L02-V021,name,word,D-identity,1,2,taught,"2;4"
A1-C01-L02-V022,first name,word,D-identity,1,2,taught,"2;4"
A1-C01-L02-V023,last name,word,D-identity,1,2,taught,"2;4"
A1-C01-L02-V024,My name is ...,chunk,D-identity,1,2,taught,"4"
A1-C01-L02-V025,I'm ...,chunk,D-identity,1,2,taught,"2;3"
A1-C01-L02-V026,What's your name?,chunk,D-identity,1,2,taught,"2;4"
A1-C01-L02-V027,Nice to meet you,chunk,D-identity,1,2,taught,"3;4"
A1-C01-L02-V028,How are you?,chunk,E-state-questions,1,2,taught,"4"
A1-C01-L02-V029,I'm good/fine/okay,chunk,E-state-questions,1,2,taught,"4"
A1-C01-L02-V030,And you?,chunk,E-state-questions,1,2,taught,"4"
A1-C02-L01-PAT001,alphabet A–Z,pattern_system,C2-alphabet,2,1,taught,"4;5"
A1-C02-L01-PAT002,numbers 0–5,pattern_system,C2-numbers,2,1,taught,"4;5"
A1-C02-L02-PAT003,numbers 6–10,pattern_system,C2-numbers,2,2,taught,"4;5"
A1-C02-L02-PAT004,numbers 11–15,pattern_system,C2-numbers,2,2,taught,"4;5"
A1-C02-L02-PAT005,numbers 16–20,pattern_system,C2-numbers,2,2,taught,"4;5"
A1-C02-L01-V001,spell,word,C2-spelling-repair,2,1,taught,"3;4"
A1-C02-L01-V002,repeat,word,C2-spelling-repair,2,1,taught,"4;9"
A1-C02-L01-V003,slow,word,C2-spelling-repair,2,1,taught,"4;9"
A1-C02-L01-V004,again,word,C2-spelling-repair,2,1,taught,"4;11"
A1-C02-L01-V005,listen,word,C2-spelling-repair,2,1,taught,"4;7"
A1-C02-L01-V006,say,word,C2-spelling-repair,2,1,taught,"4;7"
A1-C02-L01-V007,How do you spell that?,chunk,C2-spelling-repair,2,1,taught,"3;4"
A1-C02-L01-V008,Can you repeat that please?,chunk,C2-spelling-repair,2,1,taught,"4;9"
A1-C02-L01-V009,Please speak slowly.,chunk,C2-spelling-repair,2,1,taught,"4;9"
A1-C02-L02-V010,phone,word,C2-contact,2,2,taught,"9;10"
A1-C02-L02-V011,phone number,word,C2-contact,2,2,taught,"9;10"
A1-C02-L02-V012,email,word,C2-contact,2,2,taught,"4;9"
A1-C02-L02-V013,email address,word,C2-contact,2,2,taught,"4"
A1-C02-L02-V014,address,word,C2-contact,2,2,taught,"10"
A1-C02-L02-V015,at,word,C2-contact,2,2,taught,"7;9"
A1-C02-L02-V016,dot,word,C2-contact,2,2,taught,"4"
A1-C02-L02-V017,What's your phone number?,chunk,C2-contact,2,2,taught,"9;10"
A1-C02-L02-V018,What's your email address?,chunk,C2-contact,2,2,taught,"4"
A1-C05-L01-PAT006,numbers 21–29,pattern_system,C5-numbers,5,1,taught,"8;9"
A1-C05-L01-PAT007,tens 30–90 (incl. -teen/-ty contrast),pattern_system,C5-numbers,5,1,taught,"8;9"
A1-C05-L01-PAT008,number 100,pattern_system,C5-numbers,5,1,taught,"9"
A1-C05-L01-V001,family,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V002,mother / mom,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V003,father / dad,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V004,sister,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V005,brother,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V006,son,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V007,daughter,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V008,parent,word,C5-family-A,5,1,taught,"6;8"
A1-C05-L01-V009,grandmother,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V010,grandfather,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V011,grandparent,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V012,child,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V013,children,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V014,sibling,word,C5-family-B,5,1,taught,"6;8"
A1-C05-L01-V015,partner,word,C5-people,5,1,taught,"8"
A1-C05-L01-V016,husband,word,C5-people,5,1,taught,"8"
A1-C05-L01-V017,wife,word,C5-people,5,1,taught,"8"
A1-C05-L01-V018,dog,word,C5-people,5,1,taught,"8"
A1-C05-L01-V019,young,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V020,old,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V021,tall,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V022,short,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V023,friendly,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V024,kind,word,C5-descriptors,5,1,taught,"8;11"
A1-C05-L01-V025,Who is this?,chunk,C5-photo-chunks,5,1,taught,"8"
A1-C05-L01-V026,How old is …?,chunk,C5-photo-chunks,5,1,taught,"8"
A1-C05-L01-V027,… is … years old,chunk,C5-photo-chunks,5,1,taught,"8"
A1-C05-L02-V028,I have …,chunk,C5-have-chunks,5,2,taught,"8;9"
A1-C05-L02-V029,… has …,chunk,C5-have-chunks,5,2,taught,"8;9"
A1-C05-L02-V030,I don't have …,chunk,C5-have-chunks,5,2,taught,"8;9"
A1-C07-L01-PAT009,clock whole hours,pattern_system,C7-time,7,1,scheduled,"8;9"
A1-C07-L01-PAT010,clock half hours (half past),pattern_system,C7-time,7,1,scheduled,"8"
A1-C09-L02-PAT011,prices 1–100,pattern_system,C9-prices,9,2,scheduled,"12"
A1-C03-L01-V001,country,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V002,city,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V003,from,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V004,language,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V005,English,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V006,speak,word,C3-origin-frame,3,1,taught,"4"
A1-C03-L01-V007,Canada,word,C3-countries-cast,3,1,taught,"4"
A1-C03-L01-V008,Mexico,word,C3-countries-cast,3,1,taught,"4"
A1-C03-L01-V009,Peru,word,C3-countries-cast,3,1,taught,"4"
A1-C03-L01-V010,Egypt,word,C3-countries-cast,3,1,taught,"4"
A1-C03-L01-V011,Australia,word,C3-countries-cast,3,1,taught,"4"
A1-C03-L01-V012,Brazil,word,C3-countries-world,3,1,taught,"4"
A1-C03-L01-V013,Japan,word,C3-countries-world,3,1,taught,"4"
A1-C03-L01-V014,Kenya,word,C3-countries-world,3,1,taught,"4"
A1-C03-L01-V015,Spain,word,C3-countries-world,3,1,taught,"4"
A1-C03-L01-V016,India,word,C3-countries-world,3,1,taught,"4"
A1-C03-L01-V017,student,word,C3-jobs-1,3,1,taught,"4;7"
A1-C03-L01-V018,teacher,word,C3-jobs-1,3,1,taught,"4;7"
A1-C03-L01-V019,doctor,word,C3-jobs-1,3,1,taught,"4;7"
A1-C03-L01-V020,nurse,word,C3-jobs-1,3,1,taught,"4;7"
A1-C03-L01-V021,engineer,word,C3-jobs-1,3,1,taught,"4;7"
A1-C03-L01-V022,designer,word,C3-jobs-2,3,1,taught,"4;7"
A1-C03-L01-V023,driver,word,C3-jobs-2,3,1,taught,"4;7"
A1-C03-L01-V024,cook,word,C3-jobs-2,3,1,taught,"4;7"
A1-C03-L01-V025,office worker,word,C3-jobs-2,3,1,taught,"4;7"
A1-C03-L01-V026,friend,word,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V027,person,word,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V028,people,word,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V029,This is …,chunk,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V030,They speak …,chunk,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V031,Nice to meet you too,chunk,C3-people-introducing,3,1,taught,"4"
A1-C03-L01-V032,Where are you from?,chunk,C3-origin-job-frames,3,1,taught,"4"
A1-C03-L01-V033,I'm from …,chunk,C3-origin-job-frames,3,1,taught,"4"
A1-C03-L01-V034,Where is Alex from?,chunk,C3-origin-job-frames,3,1,taught,"4"
A1-C03-L01-V035,What do you do?,chunk,C3-origin-job-frames,3,1,taught,"4;7"
A1-C03-L01-V036,I'm a/an …,chunk,C3-origin-job-frames,3,1,taught,"4;7"
