id,target,introduced_chapter,introduced_lesson,status,allowed_forms,not_yet_allowed_forms
A1-C01-L02-G001,I/you + be affirmative + contractions,1,2,taught,"I am/I'm; you are/you're","is; are (3rd person); negatives; questions"
A1-C01-L02-G002,possessive my/your with name,1,2,taught,"my name; your name","his/her/their/our"
A1-C01-L02-G003,name/state chunks (What's your name? / How are you?),1,2,taught,"fixed chunks only","analysis of do-support"
A1-C02-L02-G004,Are you…? + short answers,2,2,taught,"Are you Alex? Yes I am / No I'm not","is he/she; are they"
A1-C02-L02-G005,It's… for letters numbers details,2,2,taught,"It's M. It's 4. It's maya@…","there is; that is"
A1-C02-L02-G006,demonstrated imperatives (listen/say/repeat/choose/match),2,2,taught,"instruction verbs only","Don't…; object imperatives"
A1-C03-L02-G007,he/she/singular they/we/plural they + full be paradigm,3,2,taught,"he's/she's/they're/we're; isn't/aren't; Is/Are…? + short answers","past; other verbs"
A1-C03-L02-G008,possessives his/her/their/our,3,2,taught,"his/her/their/our + noun","whose; mine/yours; possessive 's (G010 is C5)"
A1-C03-L02-G009,a/an before jobs by sound,3,2,taught,"a cook; an engineer","the (abstract use); plurals with a/an"
A1-C05-L02-G010,singular possessive 's,5,2,taught,"Leo's sister","of-construction; plural 's"
A1-C05-L02-G011,have/has + don't/doesn't have,5,2,taught,"I have; she has; negatives","have got; do-support with have"
A1-C05-L02-G012,plural -s/-es + child/children,5,2,taught,"friends; addresses; children","irregular plurals beyond children"
A1-C06-L02-G013,there is/there are + questions + negatives,6,2,scheduled,"There's a lamp; There are two cups; Is there…?","quantifiers beyond some; location of abstractions"
A1-C06-L02-G014,this/that/these/those (visible contexts),6,2,scheduled,"this key; those keys","emphatic this; telephone this"
A1-C06-L02-G015,place prepositions (in/on/under/next to/between/behind/in front of/near),6,2,scheduled,"concrete position only","opposite/across from (C10 adds)"
A1-C07-L02-G016,present simple affirmative + third-person -s,7,2,scheduled,"I work; she works","spelling exceptions beyond taught; -ies rules only as needed"
A1-C07-L02-G017,present simple negatives don't/doesn't,7,2,scheduled,"I don't work; she doesn't work","past negatives"
A1-C07-L03-G018,do/does questions + short answers,7,3,scheduled,"Do you…? Does she…?","question words beyond taught; tags"
A1-C07-L03-G019,wh-questions What time/When do/does,7,3,scheduled,"What time do you…?","Why/How (not in A1 core)"
A1-C07-L03-G020,frequency adverbs + position,7,3,scheduled,"always/usually/sometimes/never; before main verb; after be","adverb phrases; often/rarely"
A1-C09-L02-G021,like/don't like + Do you like…?,9,2,scheduled,"I like tea; I don't like coffee; Do you like…?","would like outside service chunk; like + -ing"
A1-C09-L02-G022,some/any + limited count/non-count (service),9,2,scheduled,"some water; Is there any…?","much/many; quantifier theory"
A1-C09-L02-G023,How much is/are…?,9,2,scheduled,"How much is it?","How many (held for review chapters if needed)"
A1-C10-L02-G024,imperatives + can/can't (ability/requests),10,2,scheduled,"Turn left; Can you help me?; I can't swim","could; may; permission nuance"
A1-C11-L02-G025,present continuous + expletive it (weather/time),11,2,scheduled,"I'm reading; It's sunny; It's three o'clock","future -ing; perfect; It as pronoun referent beyond finding chunks"
